	t0	t1	t2	t3	t4	t5	t6
sub-21_AA_trial8	-0.8533096481235537	-0.41140456238257017	0.6989292136837397	0.7371455404864247	0.5908934320454362	0.4258508374037551	-0.5748545661666618
sub-21_UA_trial0	0.775523087029834	-0.18265126320135242	0.11107613993670823	0.5728563578276836	-0.47538189175080553	0.8744930166291727	0.13368873900800693
sub-21_UA_trial1	0.13368873900800693	0.9999631667209067	0.8640808436166603	-0.3007773494283826	-0.9638189722034545	-0.9845072010504293	-0.6277406041387369
sub-21_UA_trial2	0.9973964879908495	0.9977216379536502	0.15812842397783636	-0.2702032861834489	-0.31195002565765	0.6974149968259624	0.9715939822575466
sub-21_UA_trial3	0.6974149968259624	0.9715939822575466	0.5473398042845772	0.45372995285248063	-0.5271022218610756	0.8466252984233403	0.9906109751782185
sub-21_UA_trial4	0.8842083515704492	-0.04181615796203231	0.6081508508883775	-0.9148610583091233	0.640609470807256	0.6613992423533739	0.7734617721273171
sub-21_UA_trial5	0.6613992423533739	0.7734617721273171	0.3685859544339941	0.604845618713471	-0.24164522927590923	0.9812946763795561	0.9951020849742686
sub-21_UA_trial6	-0.3923578457520049	-0.6528643636885435	0.4459943269904214	-0.6688726964241856	0.3396435718416655	0.04004198972202516	0.6950094978429509
sub-21_UA_trial7	0.6539025433882798	-0.5132840196612579	-0.8909096554077005	0.8145045622203977	0.8385329333508659	0.7799785670760938	0.7222001549589219
sub-21_UA_trial8	0.8385329333508659	0.7799785670760938	0.7222001549589219	0.8425668702378526	0.9997935748699658	-0.9997661727710896	0.6050396416997474
sub-21_UA_trial9	0.8578633402067515	0.9429018814255793	0.279398144086926	-0.3456932533157617	0.9423651088706531	0.8636529868689234	0.7947476820256022
sub-21_UA_trial10	0.9992170552491293	0.9853367327120996	0.7202141576627593	0.6211434095430958	-0.7204494973316349	0.6696583566628372	0.872856386858004
sub-21_UA_trial11	-0.7204494973316349	0.6696583566628372	0.872856386858004	0.977210491571429	0.9900514372670254	0.9920974390288977	0.9617852808050473
sub-22_AA_trial0	0.20622574886070213	0.9688548740751507	0.6334658707004388	0.9654227298870144	0.3748015991070169	0.97488663982349	-0.2415166010205609
sub-22_AA_trial1	-0.2415166010205609	-0.1048735030796765	-0.1540848424274186	0.5540059626743628	0.9515475104363466	0.9504115284162071	0.965123082358353
sub-22_AA_trial2	0.7835966675572309	0.982051850517078	0.7164542613612086	0.9411024116312299	0.9837802958495294	-0.9800500971970455	0.6575173102107554
sub-22_AA_trial3	0.9846236047951751	0.9810570181431494	0.921564993376064	0.9972853672915953	-0.09245689513489	0.25239020136509394	0.6824801298393071
sub-22_AA_trial4	0.579683088115938	-0.9972665880827261	-0.9970347360822729	-0.835318704461309	0.4838087683528184	0.9530563866166363	0.9840362310322393
sub-22_UA_trial0	0.9014497820027516	0.8124037542128313	0.9984542853633633	0.9763881765228835	0.9446332956193382	0.9993167298976267	0.9992470490350043
sub-22_UA_trial1	0.9992470490350043	0.8135910185611048	0.9096368573684979	0.9991981546614372	0.6967804932486288	0.43974315728486607	0.10490079629333683
sub-22_UA_trial2	-0.40127697740362095	-0.1942591004579534	-0.30163817762924333	0.3551577389951553	-0.48603180984925015	0.33441214495717486	0.2875048329622339
sub-22_UA_trial3	0.4207652990073761	0.17889775535860164	-0.9292007664645099	-0.7806750703806492	0.4063210153366108	0.8559438444181356	0.9843170308458182
sub-22_UA_trial4	0.8757443832925428	0.8859973861146911	0.5049341809566725	0.23388714319961973	-0.45342653663971155	-0.8843326906588962	0.826877834705345
sub-22_UA_trial5	0.9477547778846348	0.7196368159208985	0.9188876650100366	0.9947839780355183	0.9767273330991294	-0.7084862936146477	-0.9997348618499334
sub-22_UA_trial6	0.7514724986211014	-0.001848697140222311	-0.35398118776673276	0.022346683981770206	0.9835398899529473	0.8990860833502632	0.4409653106256473
sub-23_UA_trial0	-0.960339645813318	0.15085805436942942	0.9742141067432604	-0.2415897609162403	-0.9746719871168102	-0.18025632406550032	0.9991997484491035
sub-23_UA_trial1	0.9570718356258109	0.934277218819433	0.8250971251551158	0.8931834133201216	0.9786400621609144	-0.8168012140231645	0.4998006856840479
