	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16
sub-05_AA_trial0	0.7079656445890247	0.6749215055448333	0.6606576598119153	0.7797501629133553	0.5447969757158021	0.43717807959503086	0.5935003217522804	0.6427840940273574	0.773270424911046	0.7135932215387197	0.7276017772796293	0.5775263106723715	0.5728698274234059	0.652445948990532	0.7040970474466389	0.7387470873687998	0.5469491970834301
sub-05_UA_trial0	0.8685419860780101	0.8641371593853115	0.6864321663634871	0.7490786780338647	0.7713007244156582	0.6898990715173006	0.7688837380335359	0.8656026893888608	0.8829303842626157	0.8770909208100639	0.9446381461170817	0.9114290494113728	0.912274695332364	0.10343887325392906	0.018010836250510334	0.03636977603199222	-0.07808860926354853
sub-06_AA_trial0	0.2935277159850062	0.2597802649265022	0.217899002423947	0.3423502381421248	0.5420546493292475	0.564505569911851	0.17883096896804404	0.47037654743036134	0.6794114462535109	0.67053432968467	0.7490866923551106	0.748909816641144	0.7431313154745965	0.8075498757173108	0.8886608682625976	0.6344199892589266	0.636052046859171
sub-06_AA_trial1	0.34425231248243815	0.7642344267700679	0.8355655219282259	0.8734676527432315	0.8160257782554421	0.7621989166327321	0.5931540044555027	-0.14600453711343567	0.03249608994471754	0.06450078391763608	0.015138972677439673	0.13043363085000062	0.36698751822299364	0.3360009009844941	-0.05611702213000587	-0.17078667979544876	-0.15269648313541415
sub-06_AA_trial2	0.5924363227051856	0.4909557950807989	0.4898605415210965	0.5744551913430149	0.5852642582187872	0.5558483688310006	0.08275868909693959	0.33472295754408055	0.3296976794913183	0.32984289424143814	0.5315417015991186	0.5334396415704633	0.36550160828723277	0.5141062693380334	0.542904609697087	0.5425719241866385	0.5097464426167505
sub-06_AA_trial3	0.09186343303770522	0.40423461290207335	0.4243321798413667	0.23496119619148995	-0.05525045050058975	0.48973375674069536	0.5295958555490885	0.540897820088869	0.45400418755504046	0.4356830593390374	0.23694290921787364	0.1430422592010581	0.525814658173895	0.6224395572148989	0.8713238839266209	0.8959605798528787	0.8855315215732696
sub-06_UA_trial0	0.22805478949936506	-0.13456099362641813	0.5491984226969299	0.46495653837762607	0.11535584845592056	0.2385672250415191	0.6683247731913645	0.6797789670824256	0.649184858870269	0.6521344224227773	0.5631454243183756	0.36997510588566074	0.23486151441049863	0.32050575296813666	0.31498387633577996	0.31322427594760277	0.10137352236422822
sub-06_UA_trial1	0.13883915676972836	0.10823105397985036	0.22188108208265542	0.3693545140269714	0.3645042134579001	0.5382899176632441	0.40826970291720405	0.8893061097309166	0.8679923961511397	0.8572567460543308	0.8357036241646126	0.7739250681686515	0.6024511947027404	0.5718679677351742	0.8151789589948364	0.8274913415717007	0.8294690089899216
sub-06_UA_trial2	0.4743650403792027	0.052566006350702535	0.24225461509074037	0.5421117255462891	0.586072287242137	0.6011388993617269	0.6894493566962667	0.49348614425865406	0.1383088054627158	0.09544214752746105	0.24045417798960403	0.7387185725662488	0.8662230466808882	0.7694145197145892	0.7646839112049749	0.8377504170190706	0.9422414065901169
sub-06_UA_trial3	0.782924027956475	0.7575211768621263	0.6618788461249819	0.7678254240989385	0.6223387091885553	0.6670502552254454	0.6685848329847968	0.3976272107608127	0.3296375058922481	0.6225515485469244	0.6701997258473377	0.7897554071441782	0.5291913319508013	0.13385003203999196	-0.01877801570394799	0.342747510082758	0.564010492303477
