	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12
sub-12_UA_trial1	0.9574643184714487	0.954531380761444	0.9306795142959189	0.9560010253119738	0.9655546613389304	0.8086166494395509	0.7578168210681273	0.7768149335023409	0.8088126050961236	0.8085954672899154	0.7871579259397838	0.7370554269748052	0.43168647901635654
sub-12_UA_trial2	0.44549650028041893	0.11097596868650914	-0.013635198708583547	0.6532399245488457	0.8075235865347767	0.7046818598834785	0.8141074475837541	0.7967186132544813	0.68865644992631	0.6920139398372175	0.6427808606201534	0.9271522428951585	0.961699102514196
sub-12_UA_trial3	0.07135750511433796	0.34758580720289495	0.3214996615487117	0.5680966766520192	0.7753111722842996	0.8453975219011602	0.843175972504438	0.8927339991810579	0.9127213467515378	0.8310609916537195	0.6287458237693963	0.6716365771520227	0.9893072987886091
sub-12_UA_trial4	0.36980193359735236	0.10998370802517647	0.22002799698660055	0.4217326725471389	0.7099751355601259	0.5945418239229036	0.5926925644354547	0.8293806036368155	0.8986707777158773	0.8800770779343067	0.7670262352609718	0.8235231551347352	0.9319141564185831
sub-12_UA_trial5	0.5262242313761677	0.5809638147508419	0.8698775006463925	0.9423894149716355	0.9038493317021665	0.9152300663189176	0.8840593911717418	0.6530235027902559	0.5567985021409781	0.8538660779024745	0.9244170573008612	0.9108673139077317	0.7940427369271081
sub-15_AA_trial0	0.702349389124469	0.8114847965364614	0.5715701666510171	0.6741370221290118	0.6039977800525926	0.2594227440062282	0.41793023137386526	0.17085658630022654	0.17629207323436694	0.12059302074275076	0.39869568204984557	0.49689601863183186	0.3511765373429839
sub-15_UA_trial0	0.8005897091141022	0.6408746136689097	0.5694635496527998	0.6081853156361902	0.6048647285669411	0.7788442072563894	0.8117589217887711	0.842912132667768	0.8535214316959676	0.866244835392236	0.9618936200851247	0.6678279908689743	0.6012300642149147
sub-16_AA_trial0	0.6680290703859204	0.672305658020533	0.22155435816008298	0.6435957193012078	0.7740775866108799	0.761456040996431	0.5429356689360744	0.08612771433453954	0.44742431156249707	0.5514627408884889	0.7509640802026984	0.7338665814342709	0.7760158989968482
sub-16_AA_trial1	0.4542517327575499	0.5220194493988544	0.5386454192935771	0.49674429061977676	0.5914160334913793	0.8713009567969227	0.8391090877241498	0.6816766565178647	0.3997040375512932	0.17117582676981083	-0.35492874750679115	0.05369015044769076	0.17487588147110614
sub-16_UA_trial0	-0.023310515046045057	0.0053430006981131	0.3135703809293253	0.3626464010104548	0.1188514526146938	0.32454131283298543	0.0004986231637645821	0.317539578359156	-0.43976742524776014	-0.4064785270277061	-0.2469658283457503	-0.3840926277162235	-0.44417109748232325
sub-21_AA_trial0	0.44749467355439937	0.6040045239914409	0.744132228806044	0.8069305122343514	0.578729411784358	0.7055160623719631	0.6609173895992779	0.7784114763961855	0.6044497496275254	0.4782951961762791	0.5548522078323535	0.24759324626285054	0.19833174611428991
sub-21_AA_trial1	0.24180106530917825	0.26754750577683345	0.6257547415999107	0.4154584326615643	0.5212337823395505	0.6368827253870504	0.1598714394865804	-0.33020336765302466	-0.1412576378990475	-0.26038035811313615	-0.08159732268834079	-0.33285203444135103	0.2074908419628365
