	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16
sub-08_UA_trial5	0.6811136210552069	0.7232964021579023	0.7234389082013103	0.5759372375912019	0.6753536101520916	0.6642558659145886	0.6582693336034295	0.8426089834902556	0.6829064666713163	0.7454130660321214	0.7687495457562963	0.8432783550799843	0.7118023582884634	0.7280985563502635	0.7810778237365015	0.6792314919638507	0.31742042225644573
sub-08_UA_trial6	-0.0026107641272903417	-0.010467339077040365	0.19271765604992686	0.18334752170552723	0.1611664646149776	0.3744430593958719	0.6175638652908341	0.6600178112303944	0.6958400318182785	0.697251031918355	0.5396884864332676	0.5901111400020795	0.6328899301228962	0.07460586000891738	-0.12127210243444461	0.034492056048644776	0.05374584719450414
sub-08_UA_trial7	0.5241099837388437	0.7388229193741909	0.4093980347419099	0.4228176677623322	0.5860405875788671	0.4755461990942974	0.38148708662740155	0.19838300584180218	-0.12973352131615135	-0.0314337656047695	0.7510138267499337	0.755055856608577	0.7476695395411412	0.8029858283561141	0.844501979346759	0.85006464231643	0.9362472590001129
sub-10_AA_trial0	0.7055923187197932	0.780268784230106	0.7485516075895128	0.859005267930715	0.8851502545586416	0.9302214644679954	0.9566479649197874	0.9384089814091003	0.9024497323677713	0.7073223664777387	0.8465742305238202	0.828572772514276	0.8487415038815781	0.6414196626532185	0.4954224591439275	0.07885550119501011	0.4711411921907884
sub-10_AA_trial1	0.6635038417836996	0.643484205766339	0.5975023537588738	0.793874057796532	0.8655632688304723	0.7544220658455469	0.7805641334645467	0.7702206921243462	0.8398873738507017	0.5747508549412568	0.7267044981574904	0.7192247250638582	0.596635040772417	0.5563001468932562	0.5402997322738723	0.7099381564389752	0.7412108886282596
sub-10_AA_trial2	0.8265094717440229	0.6809857240506798	0.5960957729936823	0.5680853361358337	0.6252353018850191	0.7794844628818691	0.6541976229909608	0.5826673500259614	0.28191982904856666	-0.04680753253836755	0.24489058029663274	0.22712101540070326	-0.017638198857383953	0.2367205184144734	0.5426301716369387	0.4736985360852752	0.48331821805631736
sub-10_UA_trial0	0.48636169906213683	0.14271081801777857	0.3752370086966943	0.5485598205785402	0.9246389413515578	0.9501181687717278	0.9744205935103687	0.961509088434161	0.9444608680186569	0.8923272020591408	0.7522711328469107	0.2687138166622395	0.38867629390658326	0.4157673976128275	0.36233092468226247	-0.019884985007093466	-0.13489626774721084
sub-10_UA_trial1	-0.1639923595109738	0.037658578249937166	0.011441672282213803	0.2209444740447217	0.2553820376557847	0.6671011298554828	0.7454516190465172	0.7419888862757109	0.7877444261474741	0.7128878404841439	0.6196124732637418	0.7487965548312394	0.8282467706556242	0.8298828035010479	0.798256086578107	0.8352505433810917	0.7812233074237279
sub-10_UA_trial2	0.2416806928504995	0.07521286147834089	0.36443798460858023	0.3777668154056192	0.4367997156056814	0.2338916684897451	0.36763082865557073	0.453152275741438	0.44439395601077536	0.5118748850076913	0.5200089547215929	0.3624934556183934	0.31180575390621024	0.5546937940771807	0.6214346567347514	0.36731879212735624	0.551377271397718
sub-10_UA_trial3	-0.4301365011276555	-0.16696590318729765	-0.17088349506877987	0.5448577990262479	0.6196774554185941	0.7932604007428967	0.8372103435853732	0.7530117592958557	0.7666058044371599	0.8270156497595409	0.7854135393514307	0.8346376779917185	0.7062117461418043	0.6640207066727276	0.542365907020045	0.8537726772282676	0.8519581416335573
sub-10_UA_trial4	0.6489578542128469	0.7411388134955705	0.6960949494239322	0.6681799436378139	0.7077055498822996	0.575557562174005	0.6328150878744287	0.8306596492573302	0.8647248393089323	0.8869245277674204	0.9587466696017941	0.9528212945950769	0.8678856778130978	0.6811946709811736	0.8780368423612017	0.9084682362845987	0.7979799749958523
sub-11_AA_trial0	0.7408691283972518	0.6742313154800078	0.7158445965424383	0.8048944097548796	0.8311277158645904	0.5630552459576504	0.6159023070836174	0.7723043341908022	0.7785130450581307	0.790730519645253	0.7800618174572614	0.701107829630083	0.3454854166517229	0.5853037053479976	0.49671401976659496	0.38334033314198696	0.13746875628199343
sub-11_AA_trial1	0.8339903430170389	0.8113901514044867	0.7643522351909563	0.7557308208685701	0.7910942005507339	0.9405244774256131	0.9390793359494333	0.9465454224245066	0.9132883263180565	0.8237087959966821	0.5304954433692312	0.28953394674076527	0.09710536603905212	0.29768839042884343	0.3796720103828287	0.5476363923830116	0.5297782854433057
sub-11_AA_trial2	0.36932636887130355	0.35187698658302335	-0.01031499193548127	-0.02649261090717058	0.02493850009804239	0.2353610399358843	0.5067306328624359	0.6516730198476804	0.8906362617761736	0.6738189402915558	0.6223165390434726	0.5104991670230237	0.1697784032394029	-0.060040245190143476	-0.08082767689671295	-0.14166469167860765	-0.38809085892662143
