	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12
sub-12_AA_trial0	-0.3644039915420859	-0.8797117603147419	0.12315533267811424	0.44751437351503487	0.49456647152393557	0.7797841698996429	0.750900954993252	0.83261945869145	0.9054174872757824	0.9138348792722584	0.6386100049116862	0.40205349392134015	0.6587994656491379
sub-12_AA_trial1	0.7337817605060565	0.6078961469829459	0.5008397424350662	0.7552005321125693	0.7712728437308084	0.8140481646204848	0.6856554184033918	0.3650555482759326	-0.03770851331812067	-0.2708743579388101	-0.2560194132573804	-0.2436376836833121	0.4161648611284815
sub-12_AA_trial2	0.9217511218944252	0.3888131824551327	0.4781709971753276	0.7526784223648949	0.7009524033821072	0.7417783700212788	0.7534240225360761	0.22374118434020973	0.12194981521474538	0.28917052415555333	0.25890654731358015	0.4388726529275188	0.6000269859204591
sub-12_AA_trial3	-0.11979785080399145	0.4547840932287508	0.467930823990542	0.621949627149076	0.6479567574492185	0.34888307685294	0.4006790152868646	0.5483141584378436	0.6503195250753867	0.5724759360250734	0.691214608483856	0.5498435951268448	0.47619455185531645
sub-12_AA_trial4	0.6046856694369345	0.5989027895375956	0.9234617664817648	0.8727087500503163	0.7745605342365967	0.7750551438743026	0.6197144481563506	0.4424674689023938	-0.030055953773513094	0.29979304644943755	0.7497009841045917	0.8085060150575798	0.8506362943691569
sub-12_AA_trial5	0.8834476925378851	0.9873579496006951	0.8946010608294205	0.8985489099571237	0.8254598736004312	0.8007010859539536	0.7834952109200388	0.8418511197170022	0.8903103148477584	0.8942389814766846	0.9259351136909387	0.9659260806665548	0.9807415203576564
sub-12_AA_trial6	0.9290886643860525	0.8853033066263827	0.9049382215394614	0.9190716025501626	0.8300951917311072	0.9234699050289331	0.4104496521731448	0.6462333459127065	0.9603523551876809	0.7876615199921125	0.6565013198797773	0.5884417158768344	0.27237210335339795
sub-12_AA_trial7	0.4454079538477693	0.7852079896383795	0.7432439067039307	0.4211951358346387	0.5310663871788257	-0.2103512407930261	0.11639816367674018	-0.12418787621554984	-0.03872334598486588	0.44444206341565745	0.7500960034764532	0.8550981878857961	0.8674998002016014
sub-12_AA_trial8	0.8463888595477413	0.6638628828711993	0.541572865329638	0.30167109684610205	-0.01638317380261537	-0.01679921441184321	0.07081949678179277	0.0159890107584242	0.3031159217589175	0.5302562655058657	0.2227587351517733	-0.15913706171470224	0.3478651344004422
sub-12_AA_trial9	0.9223884233205094	0.816269155611319	0.4481946692398135	0.6496469509771716	0.5823070103121345	0.42593461935774873	0.5980956175357799	0.7734860611429007	0.8822694580721689	0.9098219946079351	0.9099988444071105	0.8691410630096189	0.8789397974083982
