bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-07_task-AA_acq-2500_run-1_bold	0.00417525641025641	0.005243226794871794	0	29.1594284427742	1.1229986272903225	1.0230335971612905	0.5919785424298815	167.80120849609375	0.07895149943205985	7	4.487179487179487	2.7703838249599246	2.6824834399256483	2.976801368287459	2.6518666666666664	0.00918267	0.011194266378879547	0.04104295372962952	156	76	76	42	2.5926197651551677	2.5	2.526315689086914	2.526315689086914	3.0	34.7616386939579	168.07129491545356	1573.312744140625	973.275634765625	144037.0	812.229443359375	4638.692187499987	1852.1026611328125	2.6278517494662887	4238.219693266596	13521.3291015625	12676.1708984375	51241.0	7263.47607421875	22759.845703125	4889.28125	47.823787689208984
sub-07_task-UA_acq-0500_run-1_bold	0.00026686375321336765	0.01380467236503856	2	38.58389826181462	1.1804744242985854	0.9954974775160876	0.5573854305420323	1709.4676513671875	0.09864510094912281	12	1.5424164524421593	1.9056675524277067	1.8525713236145704	2.1055880003352163	1.7588433333333333	0.00493353	-0.008382169529795647	0.0301076490432024	778	76	76	42	6.392893247039866	0.5	2.526315689086914	2.526315689086914	3.0	15.852714156257605	150.01604990363003	487.1443176269531	187.29641723632812	144098.0	71.5992042541504	1989.199230957029	739.36279296875	1.772554378536487	1171.0624641466027	8035.71875	8020.87548828125	51507.0	6091.93095703125	10046.1640625	1254.642822265625	42.20985794067383
sub-07_task-UA_acq-0750_run-1_bold	0.0003252601156069364	0.011833449113680153	1	26.042256090096526	1.0702087854826265	0.9850283633397678	0.568403576100616	1361.9447021484375	0.10723764049049168	8	1.5414258188824663	1.8835927601080245	1.8187038222687968	2.090154458055276	1.7419200000000001	0.00482929	-0.008077967911958694	0.03221511095762253	519	76	76	40	6.589398121297947	0.75	2.526315689086914	2.526315689086914	3.0	16.89900576294513	189.22317102426769	609.2117919921875	257.364990234375	134432.0	107.83127899169922	2395.242932128906	895.6226806640625	1.9868491326135098	1371.608303786014	9819.6708984375	9806.5302734375	51178.0	7541.068872070313	12184.76958007812	1488.2139892578125	50.35163879394531
sub-07_task-UA_acq-1000_run-1_bold	0.0002633933161953727	0.011316056066838049	1	28.849515339793797	1.1677451328350512	0.9711726851546394	0.5577728478098856	1463.38232421875	0.11041266023765856	13	3.341902313624679	1.8472962315092971	1.797059654742068	2.049819039785824	1.69501	0.00730399	-0.008340657688677311	0.03267110511660576	389	76	76	42	6.439066447095023	1.0	2.526315689086914	2.526315689086914	3.0	17.073492084932386	215.20368456475708	675.0525512695312	276.8771667480469	144117.0	104.9832763671875	2698.1280273437487	1025.8067626953125	2.413293007060444	1559.9784174913211	11022.1044921875	10988.2646484375	51341.0	8467.8603515625	13773.115234375	1706.4830322265625	53.10446548461914
sub-07_task-UA_acq-2500_run-1_bold	0.0005258333333333333	0.003924898717948717	0	28.769242686387077	1.0869000631612902	0.9857218068387099	0.5919967319724336	168.3209991455078	0.0572710395534128	0	0.0	2.7417670880471063	2.643410730039705	2.95534720076828	2.6265433333333332	0.00629532	0.01109637413173914	0.03961251676082611	156	76	76	42	2.620201479221769	2.5	2.526315689086914	2.526315689086914	3.0	37.74190215692011	151.276463131519	1567.0784912109375	972.61669921875	143842.0	834.7617462158203	4583.431469726557	1846.924072265625	2.370666659305516	4239.321509954371	13500.4033203125	12675.8408203125	51279.0	7269.143505859375	22581.060742187496	4837.68798828125	50.65443420410156
sub-07_task-loc_acq-1000_run-1_bold	0.00040630057803468203	0.008310631271676302	1	28.92039555168605	1.183392217034884	0.982343857151163	0.5555229413157381	1523.4561767578125	0.1035531019494025	2	1.1560693641618498	1.8288397031756565	1.7798013207229504	2.0251111221373526	1.6816066666666665	0.00974168	-0.006667550187557936	0.03293176740407944	173	76	76	42	6.449707461955716	1.0	2.526315689086914	2.526315689086914	3.0	18.318373422013096	210.74109396530423	670.6414794921875	273.7109375	144390.0	104.23403472900391	2681.788793945311	1035.899169921875	2.5548409775990235	1548.8581769256646	11109.84375	11077.486328125	51166.0	8533.90771484375	13858.146728515625	1717.5008544921875	59.57496643066406
sub-08_task-AA_acq-0500_run-1_bold	0.0003943589743589744	0.012569699294871794	0	42.62713408069324	1.2609126472785617	1.000687481219512	0.600835610365282	1490.7701416015625	0.09623303637740711	19	2.4358974358974357	1.8348352583864322	1.7629111117184604	2.015971330107503	1.7256233333333333	0.0184451	0.00965261459350586	0.057584404945373535	780	76	76	42	6.081325689458555	0.5	2.526315689086914	2.526315689086914	3.0	10.562188877076569	207.39821462080948	700.4926147460938	219.77589416503906	132707.0	62.56266288757324	3120.208813476562	1117.8572998046875	1.3382792532771468	1450.993761784166	8982.6474609375	8964.337890625	61108.0	6741.019848632813	11326.41298828125	1474.064208984375	42.699859619140625
sub-08_task-AA_acq-0750_run-1_bold	0.0014452895752895755	0.01181596916988417	2	36.569898310251396	1.2935618063636367	1.0038420012765954	0.6169122008055171	998.5131225585938	0.12070487145354755	28	5.405405405405405	1.8096035218095852	1.7440654859696025	1.9996550794591537	1.68509	0.0180747	0.005868144799023867	0.05831902474164963	518	76	76	40	6.207149483448779	0.75	2.526315689086914	2.526315689086914	3.0	9.72686552830364	298.8331072492814	920.2319946289062	323.5375061035156	123267.0	90.45667266845703	4009.163085937498	1384.9771728515625	1.5012043293739286	1675.8877956208958	10764.607421875	10743.388671875	60426.0	8124.2685546875	13531.46728515625	1730.79443359375	46.79651641845703
sub-08_task-AA_acq-1000_run-1_bold	0.0009215245478036175	0.013446374392764858	3	29.80976127974095	1.157237266113989	0.9620315624611396	0.6048685317767264	1170.3572998046875	0.13406820262363273	28	7.235142118863049	1.8282276193602816	1.7614702783278735	2.007049246419638	1.7161633333333333	0.0102839	0.009778288193047047	0.058353833854198456	387	76	76	42	6.019592591334334	1.0	2.526315689086914	2.526315689086914	3.0	10.04476894289217	314.37524015097694	974.0921020507812	332.6622314453125	132603.0	92.3732192993164	4245.226611328124	1493.1484375	1.4754789345248227	1903.6040583388972	11947.3369140625	11931.806640625	61194.0	8922.808056640624	15087.539794921875	1982.1456298828125	46.628780364990234
sub-08_task-AA_acq-2500_run-1_bold	0.0021515384615384617	0.0045376938461538455	0	30.586991550387086	1.1111098289032255	1.0077706485806452	0.6144842435561113	174.83970642089844	0.08642247997185967	10	6.410256410256411	2.827423130624639	2.700992607327803	2.9665334512127814	2.814743333333333	0.0212578	0.02183728665113449	0.06786852329969406	156	76	76	42	2.210978345533642	2.5	2.526315689086914	2.526315689086914	3.0	17.346292730198805	265.8860305758755	1934.189453125	974.0226440429688	128479.0	744.0731872558594	6895.931298828118	2509.211669921875	2.278129200317168	5310.534913460437	14589.2626953125	13354.365234375	59530.0	7218.9373779296875	26125.064062499994	6039.974609375	48.852256774902344
sub-08_task-UA_acq-0500_run-1_bold	0.00030920512820512816	0.013201784512820511	0	42.89639323851092	1.2523441283953791	0.9925844053786912	0.6024405676506505	1421.899658203125	0.09725888607692161	22	2.8205128205128207	1.836472550146372	1.7711206953780132	2.0148036217277694	1.7234933333333335	0.0174187	0.008913586847484112	0.05859725922346115	780	76	76	42	6.051487641993735	0.5	2.526315689086914	2.526315689086914	3.0	10.574286598759478	209.5887041992281	705.0562133789062	222.91766357421875	132548.0	65.28085708618164	3134.381604003906	1110.849853515625	1.3749322861502904	1447.4360232085578	8920.9501953125	8901.126953125	61240.0	6701.041748046875	11263.647802734375	1470.886962890625	41.85896682739258
sub-08_task-UA_acq-0750_run-1_bold	0.0019150192307692306	0.011009418057692308	0	36.92324469302505	1.287919418535645	1.0025981355105975	0.6159013217156861	1038.2813720703125	0.12426992423426271	28	5.384615384615385	1.8324473419182656	1.7624163200321326	2.031452372389331	1.7034733333333334	0.0176925	0.006719463970512152	0.05784158408641815	520	76	76	40	6.109479173422278	0.75	2.526315689086914	2.526315689086914	3.0	9.874967349216732	283.56132709740666	913.251708984375	316.3670654296875	123250.0	95.28398399353028	3999.2538574218684	1385.00048828125	1.3543992273648922	1705.7888708323974	10765.35546875	10736.1171875	60495.0	8085.778515625	13590.544238281249	1757.27392578125	48.09728240966797
sub-08_task-UA_acq-1000_run-1_bold	0.0011075578406169666	0.008256278920308483	1	29.45559494273194	1.212725863350516	1.0068270604639171	0.605553018254921	1134.2008056640625	0.12616292111445135	27	6.940874035989717	1.8194243552966436	1.7522552779617024	2.003071121261562	1.7029466666666666	0.0197699	0.00995250791311264	0.05748468637466431	389	76	76	42	5.961435242560917	1.0	2.526315689086914	2.526315689086914	3.0	10.024058412401406	308.94227083508457	982.2684936523438	334.6646728515625	132497.0	96.86007843017578	4315.970898437499	1511.59228515625	1.5066220683008664	1925.76418358825	11922.3134765625	11901.6259765625	61243.0	8891.370703125	15093.720703124996	1996.4200439453125	57.01322937011719
sub-08_task-UA_acq-2500_run-1_bold	0.0019186538461538466	0.004313516025641025	0	31.328516018838695	1.09917541116129	0.9991526327096771	0.6160577789064335	173.99562072753906	0.08065251469246713	7	4.487179487179487	2.8132967415224654	2.695973440461693	2.955450117439036	2.7884666666666664	0.0225641	0.022660739719867706	0.06823734939098358	156	76	76	42	2.2250915035589705	2.5	2.526315689086914	2.526315689086914	3.0	17.311178836220794	252.08934190128707	1963.6988525390625	976.38623046875	128642.0	767.2709838867188	7021.26945800781	2559.8671875	2.226635414946016	5273.127440590885	14544.298828125	13326.7294921875	59412.0	7221.394604492188	25984.578710937498	5989.24462890625	49.28632736206055
sub-08_task-loc_acq-1000_run-1_bold	0.0011570175438596494	0.008040487309941521	3	29.255857018764708	1.2135909520000001	1.0031599083529414	0.599708698244395	1311.656005859375	0.1165660917098338	5	2.9239766081871346	1.8037437298183245	1.730816943776486	1.988397579011821	1.6920166666666667	0.0181708	0.00916696060448885	0.05788266658782959	171	76	76	42	6.034009421221409	1.0	2.526315689086914	2.526315689086914	3.0	11.180025826527588	288.89631178105253	935.0982666015625	317.7159729003906	132852.0	93.8541130065918	4114.982519531249	1482.3687744140625	1.6039948796830945	1936.420387033759	12136.7939453125	12130.7861328125	60883.0	9053.18310546875	15300.971679687496	2010.3857421875	58.8034782409668
sub-10_task-AA_acq-0500_run-1_bold	0.00033746134020618554	0.014780285180412373	4	43.763140037225824	1.2791940464258056	1.0006534729677405	0.6269264503400397	1239.1734619140625	0.11037325368906177	52	6.701030927835052	1.7195221999616968	1.6510090239385375	1.9112575759465524	1.5963	0.00900971	0.0027020631823688745	0.052302077412605286	776	76	76	42	6.681970552685481	0.5	2.526315689086914	2.526315689086914	3.0	9.481973729439158	226.9891912961789	757.2461547851562	251.48092651367188	123966.0	83.02528953552246	3362.9619140625	1166.431640625	2.260243019471198	1290.5538324017466	9489.85546875	9458.0458984375	67784.0	7368.212744140625	11739.49921875	1415.4471435546875	44.76715850830078
sub-10_task-AA_acq-0750_run-1_bold	0.0012752307692307694	0.017464438846153847	0	35.27043788387283	1.248400069961463	0.9944676376300583	0.6380440153998141	978.4298095703125	0.14158545531146044	105	20.192307692307693	1.7234539360721264	1.6484638155040667	1.9137513260456454	1.6081466666666666	0.0130442	0.002211680868640542	0.05162962153553963	520	76	76	40	6.849666023505523	0.75	2.526315689086914	2.526315689086914	3.0	9.614361783581035	294.9754706586948	961.1265869140625	345.34576416015625	114941.0	122.46821594238281	4233.87353515625	1450.779052734375	2.3501511478791546	1527.1164814039953	11575.5791015625	11534.009765625	66993.0	9055.0908203125	14246.353320312499	1683.8665771484375	45.26595687866211
sub-10_task-AA_acq-1000_run-1_bold	0.002089179487179487	0.011119387846153846	0	29.60227899110539	1.2147071145758361	1.0314012736246794	0.6300191922751273	954.5140380859375	0.16353246532066326	130	33.333333333333336	1.7240714360907914	1.6576906908707099	1.9059336174016641	1.6085900000000002	0.0154415	0.0030736548360437155	0.052356649190187454	390	76	76	42	6.44003754729628	1.0	2.526315689086914	2.526315689086914	3.0	9.754077713005808	361.77889877003906	1074.4820556640625	394.8441467285156	123732.0	124.16609992980958	4647.660888671874	1608.500244140625	2.3090308576816785	1817.2070066945848	12951.4755859375	12909.62890625	68028.0	9980.27529296875	16134.6083984375	2004.5743408203125	53.99678039550781
sub-10_task-AA_acq-2500_run-1_bold	0.00160525641025641	0.0035834310897435904	0	34.58853091580645	1.1495837685161292	1.0103898441935484	0.6431540408486364	149.3580780029297	0.06813453863166122	6	3.8461538461538463	2.6901979181140496	2.530261767210236	2.821891987131913	2.7184399999999997	0.00615347	0.01906176283955574	0.057352401316165924	156	76	76	42	2.384737015440358	2.5	2.526315689086914	2.526315689086914	3.0	20.29949808960622	242.06784133423255	2092.04443359375	1086.0888671875	120302.0	890.0191131591797	6992.447143554682	2671.92236328125	1.3781621795993688	5228.904920218887	14843.927734375	13652.0517578125	65499.0	7779.440234375	25865.274023437498	5724.71826171875	52.1728401184082
