subject	tr	task	roi	beta	tval	zval
sub-12	0750	UA	V1 R	-0.43678558137381934	-2.12619743346486	-2.1196805155492635
sub-12	1000	UA	hMT+ L	-0.2599544055984376	-1.7929172939651727	-1.7857581155927098
sub-12	1000	UA	hMT+ R	-0.2418720200308925	-2.09011107865932	-2.0814261105923775
sub-12	1000	UA	V1 L	-0.02930957376824619	-0.28529724616822655	-0.2848768231951465
sub-12	1000	UA	V1 R	0.2099961079337095	0.9563965623425261	0.9540666689802122
sub-12	2500	UA	hMT+ L	-0.44196456866862105	-2.295653429521265	-2.264270902588757
sub-12	2500	UA	hMT+ R	-0.3458209356239797	-2.2603603416145175	-2.225267709530112
sub-12	2500	UA	V1 L	-0.27819587622108577	-1.5359320592365258	-1.5241332428039553
sub-12	2500	UA	V1 R	-0.13147073696539627	-0.3960255650373944	-0.39467556845601864
sub-15	0500	UA	hMT+ L	-0.05826399410057816	-0.41133270301648783	-0.4110268001957944
sub-15	0500	UA	hMT+ R	-0.31812983284782226	-1.3327125152350747	-1.331088501593757
sub-15	0500	UA	V1 L	-0.06038909122092097	-0.07192179913715364	-0.07186982754040369
sub-15	0500	UA	V1 R	-0.20528605887896542	-0.9053626512038789	-0.9045978385396732
sub-15	0750	UA	hMT+ L	0.12889596773076428	1.4329487660850306	1.429792956747887
sub-15	0750	UA	hMT+ R	-0.2556731960727368	-1.0757186341290506	-1.0731328280167618
sub-15	0750	UA	V1 L	-0.03278508008448674	-0.03536385296553082	-0.0357147760673553
sub-15	0750	UA	V1 R	-0.1257873743711061	-0.5350785414985169	-0.5344411158202889
sub-15	1000	UA	hMT+ L	-0.16393167115359356	-1.4151168424251868	-1.4077816186710272
sub-15	1000	UA	hMT+ R	-0.5114922394650958	-2.655965100703126	-2.632500975149373
sub-15	1000	UA	V1 L	-0.3046043155920529	-0.6198536542528175	-0.6185947933569013
sub-15	1000	UA	V1 R	-0.19530767995019832	-0.9398239203122335	-0.9380752106142629
sub-15	2500	UA	hMT+ L	0.10770072275587211	0.2531423218391136	0.2521519625890474
sub-15	2500	UA	hMT+ R	-0.26534338754429565	-0.4005627949375909	-0.39884591152964294
sub-15	2500	UA	V1 L	-0.26999641257320955	-0.2948074232560761	-0.29356090758892556
sub-15	2500	UA	V1 R	0.03862742024039107	0.031515584551143574	0.0315623193786735
sub-16	0500	UA	hMT+ L	-0.05102085858190009	-0.43330166731439645	-0.43304129749425013
sub-16	0500	UA	hMT+ R	-0.12659070252238652	-1.0029964785287522	-1.0021324751120788
sub-16	0500	UA	V1 L	-0.06709278255183482	-0.6335752984519896	-0.6331560040239272
sub-16	0500	UA	V1 R	-0.12452191616385579	-1.3190499572060495	-1.3175636321121122
sub-16	0750	UA	hMT+ L	-0.2050946319363042	-1.7276910265905714	-1.7237188930461764
sub-16	0750	UA	hMT+ R	-0.2521433558707963	-2.01600715487532	-2.009099461550616
sub-16	0750	UA	V1 L	0.003264623740035943	-0.038213680702099226	-0.03863659737429568
sub-16	0750	UA	V1 R	-0.2550846152862179	-2.1190503574727466	-2.1117202209411943
sub-16	1000	UA	hMT+ L	-0.16476006861160034	-0.9474860471691684	-0.9455444344418416
sub-16	1000	UA	hMT+ R	-0.1168488683523488	-0.8110973284121313	-0.8091614386186397
sub-16	1000	UA	V1 L	0.0196356603058214	0.18427252101108874	0.18402586056368286
sub-16	1000	UA	V1 R	-0.2839498806005649	-1.7489768382275683	-1.7425855871281628
sub-16	2500	UA	hMT+ L	-0.22152444856725675	-1.2678442013372304	-1.2562731588818368
sub-16	2500	UA	hMT+ R	-0.010364354188615891	-0.03321882902868894	-0.03289278598836706
sub-16	2500	UA	V1 L	-0.028310229624467234	-0.12533431640682227	-0.12448052027412729
sub-16	2500	UA	V1 R	-0.3905908335762682	-1.8778511693985755	-1.8544855945210268
sub-21	0500	UA	hMT+ L	0.1434670343541667	1.2323966798687573	1.2311587561173436
sub-21	0500	UA	hMT+ R	-0.32918608204777866	-2.0428838344157327	-2.037763745214161
sub-21	0500	UA	V1 L	-0.019026480121242046	-0.23466210782263838	-0.23436516611455988
sub-21	0500	UA	V1 R	-0.15065038618581755	-1.335257027915298	-1.3331538135784624
sub-21	0750	UA	hMT+ L	-0.10924887153576546	-1.0184169258004736	-1.015557767107959
sub-21	0750	UA	hMT+ R	-0.37105837275308173	-2.634600422613476	-2.6190190363728014
sub-21	0750	UA	V1 L	0.0179135126637983	0.039915132899611676	0.039771132312001495
sub-21	0750	UA	V1 R	-0.012865916772588505	-0.17894623019738953	-0.17876750321980925
sub-21	1000	UA	hMT+ L	0.08956449132330685	0.9345494194565794	0.9324811779559942
sub-21	1000	UA	hMT+ R	-0.2975616371386162	-2.2510150231842903	-2.2332747167029243
sub-21	1000	UA	V1 L	0.10245889914767191	0.9430683595765487	0.9384679984574062
sub-21	1000	UA	V1 R	-0.024343024307131547	-0.31139345994063683	-0.31091564377030706
sub-21	2500	UA	hMT+ L	0.08866810430315919	0.8230320234200155	0.8169147441157434
sub-21	2500	UA	hMT+ R	-0.2860506232085294	-1.835123794171086	-1.798676448258548
sub-21	2500	UA	V1 L	0.33628003600197787	2.8416457098340833	2.769256322459443
sub-21	2500	UA	V1 R	0.1797300377918761	1.427953557506653	1.415697991687567
sub-22	0500	UA	hMT+ L	-0.05031390594580373	-0.7099349101088824	-0.7087841760261481
sub-22	0500	UA	hMT+ R	-0.026381166428560258	-0.38581443685293965	-0.38514534926995514
sub-22	0500	UA	V1 L	-0.0004954839769451259	-0.08243995407113278	-0.08240962930564595
sub-22	0500	UA	V1 R	-0.16620276839900017	-2.018861310378009	-2.0133078663211275
